,,,,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,% Democrats,% Democrats,% Democrats,% Democrats,% Democrats,% Republicans,% Republicans,% Republicans,% Republicans,% Republicans,Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%)
Bergen,Dumont,39,5,"10,509","10,842","11,712","11,299","11,426",58.83,60.23,65.54,62.78,64.56,27.7,27.24,32.04,32.77,-,17.88,17.77,19.89,20.1,-,43.76,30.15,75.03,40.96,61.73
Bergen,Englewood,37,9,"15,116","16,104","17,699","16,389","16,523",54.63,56.43,62.2,56.3,57.72,54.72,55.2,59.43,58.99,-,7.92,7.18,8.39,8.8,-,42.25,26.56,68.38,38.25,60.6
Bergen,Englewood Cliffs,37,9,"3,449","3,592","3,773","3,607","3,687",64.05,66.48,69.79,66.15,68.47,29.18,28.17,30.06,30.32,-,20.49,20.49,21.75,22.15,-,56.05,52.14,72.33,54.23,67.75
Bergen,East Rutherford,36,9,"4,527","4,858","5,380","5,060","5,085",46.2,53.01,54.59,50.97,52.08,26.24,25.79,31.52,33.2,-,24.93,24.39,25.4,24.45,-,45.73,22.35,71.95,40.61,61.3
Bergen,Elmwood Park,35,9,"10,760","11,636","12,582","11,917","12,001",52.81,57.38,62,58.33,59.65,30.42,29.46,34.12,37.88,-,18.56,17.63,19.34,18.79,-,37.32,34.63,69.07,39.05,53.63
Bergen,Garfield,35,9,"12,319","13,210","14,816","14,037","14,326",39.13,41.54,46.48,43.33,44.96,32.96,31.94,37.08,37.58,-,10.64,10.22,11.88,12.13,-,28.09,11.46,65.4,26.3,45.53
Bergen,Hackensack,37,5,"18,842","20,678","22,926","21,248","21,511",42.32,46.12,51.22,46.96,48.32,44,43.05,48.99,49.43,-,9.48,9.15,10.52,10.78,-,39.77,19.59,69.41,36.69,61.17
Monmouth,Roosevelt,12,4,645,632,668,649,664,73.97,72.56,78.22,76,78.86,54.11,54.88,59.58,63.48,-,11.63,11.68,11.98,12.79,-,47.6,30.54,76.65,62.71,68.37
Bergen,Fairview,32,8,"4,991","5,209","5,748","5,322","5,318",34.86,36.05,39.86,36.61,37.2,47.12,46.94,51.95,52.03,-,8.88,8.72,10.14,10.36,-,36.29,22.17,66.11,33.65,50.75
Monmouth,Sea Bright,13,6,"1,097","1,068","1,197","1,174","1,220",81.38,79.46,86.3,84.52,89.44,19.96,20.64,21.72,23.34,-,28.99,28.05,31.75,32.96,-,38.47,29.21,72.1,49.23,59.18
Bergen,Franklin Lakes,40,5,"7,428","7,660","8,367","8,040","8,164",68.54,70.28,77.1,71.43,73.58,14.77,14.6,16.6,17.24,-,41.48,41.01,42.17,42.41,-,47.13,21.21,73.28,39.42,64.45
Monmouth,Ocean Twp,11,4,"19,184","18,700","19,980","19,815","20,301",70.53,68.99,74.75,73.42,76.01,26.11,25.75,28.81,29.89,-,20.26,20.19,21.96,22.66,-,34.75,21.87,72.34,44.34,59.28
Monmouth,Red Bank,11,4,"6,598","6,425","6,948","6,950","7,175",53.02,52.65,57.14,57.2,59.55,32.68,31.76,35.98,37.96,-,18.43,18.57,20.01,20.19,-,41.06,31.74,71.19,44.26,59.8
Bergen,Harrington Park,39,5,"3,276","3,336","3,510","3,348","3,370",68.52,69.17,73.03,69.09,70.77,24.13,23.6,27.36,28.44,-,23.7,23.33,24.56,24.27,-,54.95,45.59,76.15,50.63,69.58
Monmouth,Monmouth Beach,13,6,"2,572","2,525","2,733","2,747","2,809",78.99,77.96,84.82,84.89,87.02,22.01,21.49,23.05,22.79,-,30.99,30.15,31.98,34.04,-,39.66,22.89,73.98,48.34,60.63
Monmouth,Neptune City,11,4,"3,290","3,249","19,667","3,521","20,380",68.16,67.65,415.18,74.79,438.75,23.59,23.59,27.47,29,-,24.26,23.87,25.22,25.48,-,44.19,39.8,71.13,45.47,58.4
Warren,Independence,24,5,"3,944","3,971","4,218","4,060","4,202",71.18,71.85,76.61,73.63,77.19,15.04,15,20.82,21.35,-,31.49,31.12,38.04,37.88,-,33.44,11.48,66.64,37.88,56.33
Monmouth,Marlboro,13,6,"28,077","27,629","29,661","29,777","30,590",68.48,67.93,73.55,73.88,76.72,25.09,24.66,27.66,28.16,-,16.49,16.8,19.79,21.07,-,32.68,26.32,71.34,36.55,55.67
Warren,Hope,24,5,"1,334","1,362","1,456","1,399","1,448",69.62,71.27,77,74.02,77.19,17.49,17.14,19.75,20.3,-,38.62,38.27,45.2,46.6,-,41.3,18.94,74.18,51.39,60.01
Monmouth,Middletown,13,"4, 6","47,982","46,937","49,510","49,392","50,527",72.68,71.09,75.61,75.29,77.15,20.98,20.6,23.46,24.21,-,25,24.83,27.95,29.06,-,34.41,18.17,73.69,42.54,59.67
Monmouth,Long Branch,11,6,"14,267","13,805","14,767","14,581","14,975",46.74,44.62,48,47.4,49.25,31.45,30.83,35.04,36.92,-,13.25,13.39,15.23,16.2,-,31.26,17.58,66.38,36.15,51.71
Monmouth,Manasquan,30,4,"4,418","4,403","4,659","4,648","4,835",76.65,75.72,80.08,78.74,82.71,21.25,20.77,22.92,23.3,-,29.79,29.42,31.21,32.16,-,49.12,36.45,77.74,48.97,67.57
Atlantic,Hamilton,2,2,"16,906","15,753","16,899","17,836","18,323",63.44,58.81,63.77,67.54,71.11,26.45,26.45,30.57,30.99,-,23.02,23.53,24.67,24.48,-,39.46,26.74,69.72,36.31,52.56
Atlantic,Longport,2,2,795,663,679,738,763,90.34,74.83,77.87,84.25,88.93,20.38,21.05,22.83,21.68,-,45.03,47.37,47.72,45.53,-,43.9,39.82,74.67,47.02,58.98
Atlantic,Somers Point,2,2,"7,038","6,857","7,252","7,115","7,267",65.43,64.16,68.77,67.89,70.66,24.35,23.7,27.84,28.6,-,28.06,27.99,28.83,30.19,-,40.18,30.48,68.56,40.14,55.88
Monmouth,Sea Girt,30,4,"1,627","1,608","1,665","1,620","1,661",89.69,88.79,93.28,91.32,93.79,12.42,12.24,14.47,14.69,-,55.75,54.68,54.83,56.23,-,51.81,26.93,75.44,51.6,67.79
Bergen,Allendale,40,5,"4,625","4,808","5,162","4,892","4,989",68.12,70.48,75.32,70.84,73.45,17.22,17.03,21.03,22.46,-,34.38,33.85,35,34.77,-,46.55,23.54,73.09,47.44,70.58
Bergen,Bogota,37,5,"4,631","4,877","5,244","5,053","5,049",55.58,58.06,61.64,58.98,60.01,41.28,40.33,44.22,44.97,-,14.93,14.74,15.14,14.89,-,51.24,39.82,74.18,42.49,63.83
Bergen,Cliffside Park,36,9,"10,936","11,724","12,979","12,046","12,221",42.88,47.17,52.22,47.91,47.12,41.16,40.79,44.32,44.86,-,10.15,9.71,11.45,11.96,-,39.5,25.55,68.98,35.23,57.94
Bergen,Demarest,39,5,"3,104","3,173","3,491","3,302","3,316",62.42,62.83,69.82,65.62,67.22,30.6,29.59,33.81,34.7,-,18.15,18.44,19.48,19.25,-,56.54,31.17,72.41,43.52,66.44
Bergen,Ho-Ho-Kus,40,5,"3,006","3,077","3,234","3,079","3,184",72.07,73.88,78.08,73.61,77.53,17.2,16.83,20.87,21.58,-,44.37,43.63,43.85,42.88,-,52.4,21.45,76.13,54.5,73.71
Bergen,Haworth,39,5,"2,329","2,379","2,565","2,488","2,562",67.55,68.56,74.05,71.15,74.69,32.18,32.07,35.12,35.77,-,20.82,20.54,21.43,21.02,-,60.07,33.21,76.53,49.56,71.12
Bergen,Leonia,37,9,"4,727","4,868","5,370","5,138","5,201",51.72,52.8,58.4,55.47,57.09,52.45,51.44,53.36,53.45,-,11.71,11.92,13.07,12.81,-,44.74,23.87,73.11,41.4,63.24
Bergen,Lodi,38,5,"11,399","12,126","13,318","12,654","12,840",46.24,48.83,53.75,50.7,52.3,33.68,32.89,39.9,40.75,-,11.02,10.81,13,13.25,-,31.15,13.45,67.6,32.78,53.47
Bergen,Lyndhurst,36,9,"11,500","12,183","13,215","12,634","12,769",52.09,54.67,59.42,56.34,56.55,28.1,27.4,31.2,32.07,-,18.29,17.86,20.53,20.47,-,37.97,17.53,71.9,38.4,58.67
Bergen,Maywood,38,5,"5,751","5,954","6,309","6,078","6,144",59.01,60.72,64.48,61.64,63.38,30.62,29.61,34.43,35.26,-,18.13,18.09,19.63,19.23,-,43.84,37,73.86,43.58,64.89
Bergen,Midland Park,40,5,"4,749","4,895","5,178","5,010","5,064",65.01,66.79,70.75,67.85,69.7,18.85,18.55,21.5,22.45,-,36.93,41.16,42.66,41.21,-,47.36,34.53,79.18,49.36,69.33
Bergen,Moonachie,36,9,"1,511","1,541","1,664","1,600","1,603",54.29,55.27,59.64,57.14,58.44,38.84,37.38,40.4,40.91,-,11.7,11.88,12.99,13,-,33.69,24.79,69.77,33,51.65
Bergen,New Milford,38,5,"9,368","9,703","10,556","10,123","10,233",56.17,57.75,62.99,60.01,61.8,27.9,27.17,32.01,32.76,-,17.16,16.97,18.92,19.58,-,44.46,26.1,74.01,43.51,64.1
Bergen,Northvale,37,5,"2,700","2,813","3,060","2,968","3,072",56.59,57.89,62.03,59.54,62.4,24.84,24.6,28.98,29.73,-,19.33,18.81,20.09,20.56,-,57.67,24.74,73.53,42.28,66.28
Monmouth,West Long Branch,11,6,"5,039","4,901","5,169","5,089","5,132",60.33,61.31,64.91,63.84,64.89,23.83,23.89,24.7,24.86,-,22.07,22.24,25.25,26.39,-,48.7,24.55,74.04,46.16,59.45
Morris,Boonton Twp,25,11,"3,229","3,250","3,483","3,540","3,676",74.18,74.49,79.85,81.38,85.57,17.75,17.91,20.13,20.59,-,42.92,44.25,46.57,45.96,-,38.22,14.52,73.5,43.02,62.57
Mercer,Princeton (as of 1/1/2013),16,12,"18,605","17,823","20,216","19,706","20,942",61.79,60.21,64.69,61.93,66.72,50.3,48.98,53.08,54.3,-,11.47,11.15,11.12,10.81,-,39.42,25.93,65.49,42.71,56.18
Monmouth,Shrewsbury Twp,11,4,672,656,692,674,701,60.05,58.47,68.58,66.73,70.1,35.27,33.23,38.01,39.91,-,17.71,17.16,17.77,18.1,-,42.41,31.86,70.23,43.18,48.22
Atlantic,Corbin City,1,2,299,299,332,350,354,60.53,60.77,66.53,70,71.81,17.39,17.67,21.08,20.86,-,53.51,53,52.11,53.14,-,66.22,54.18,78.92,55.43,66.95
Monmouth,Spring Lake Heights,30,4,"3,892","3,836","4,027","3,952","4,067",83.45,82.34,87.33,85.58,89.29,25.28,25.06,27.19,27.02,-,29.78,29.29,31.09,31.71,-,45.38,35.17,74.4,49.9,64.84
Monmouth,Union Beach,13,6,"3,635","3,531","3,777","3,806","3,946",63.77,63.11,67.64,68.43,71.94,22.5,22.65,25.47,25.51,-,19.26,19.32,22.45,24.28,-,37.94,35.17,70.43,42.33,53.73
Atlantic,Folsom,2,2,"1,228","1,186","1,237","1,255","1,294",65.67,64.07,67.82,69.15,72.21,20.6,20.76,21.99,21.53,-,35.91,36.3,37.51,38.04,-,45.6,25.63,73.97,38.33,53.09
Monmouth,Upper Freehold,12,4,"4,908","4,878","5,231","5,265","5,469",71.24,70.83,76.02,75.48,77.92,15.65,15.74,18.45,19.35,-,44.05,43.62,43.91,43.53,-,40.99,18.8,77.23,49.29,64.67
Atlantic,Egg Harbor,2,2,"2,637","2,564","2,787","2,767","2,794",61.84,60.49,66.47,66.29,68.08,32.01,31.45,43.09,43.35,-,22.18,21.46,19.16,19.29,-,38.23,31.01,64.44,36.14,51.22
Passaic,Pompton Lakes,40,11,"7,361","7,138","7,671","7,764","7,842",65.92,63.72,68.94,69.28,71.2,22.17,21.99,24.9,25.18,-,26.83,26.8,28.35,28.85,-,33.94,31.21,70.23,38.27,54.81
Passaic,North Haledon,35,11,"6,344","6,169","6,518","6,581","6,760",74.53,72.17,76.76,76.79,80.3,18.54,18.22,20.4,21.11,-,39.03,38.68,40.17,39.89,-,54.37,30.69,75.35,42.39,62.91
Passaic,Wayne,40,11,"36,571","35,775","38,390","38,779","39,136",66.43,64.8,70.2,70.42,72.94,23.43,22.91,25.75,26.36,-,30.08,29.9,31.19,32.99,-,34.23,30.14,72.29,38.5,58
Passaic,Ringwood,39,5,"8,722","8,481","9,138","9,177","9,645",70.47,68.13,73.7,73.69,78.89,20.05,19.9,23.42,24.34,-,30.22,30.14,32,32.49,-,39.13,24.75,74.2,45.83,59.54
Ocean,Surf City,9,2,"1,056","1,044","1,121","1,088","1,064",86.84,86.71,95.16,91.66,89.19,16.13,14.64,17.99,17.98,-,42.22,42.11,43.26,44.04,-,46.59,34.48,72.35,53.86,66.82
Ocean,Seaside Heights,10,3,"1,237","1,265","1,421","1,337","1,430",42.45,43.74,49.07,46.06,49.21,15.46,14.77,16.64,18.07,-,31.24,32.39,35.08,35.18,-,24.09,18.42,48.98,28.42,38.32
Passaic,Haledon,35,9,"4,520","4,398","4,835","5,045","5,205",53.36,52.04,57.59,59.61,62.59,42.54,42.36,46.49,47.79,-,13.43,13.14,13.53,13.6,-,33.47,19.44,66.47,31.52,46.99
Passaic,Bloomingdale,39,11,"5,105","4,981","5,397","5,451","5,618",62.42,60.63,66.03,66.14,69.6,25.37,25.18,28.3,29.43,-,23.47,23.29,25.57,26.27,-,44.49,27.58,72.34,41.41,57.81
Salem,Elmer,3,2,874,855,892,833,885,64.5,63.66,67.22,63.49,67.56,23.34,22.57,23.99,24.49,-,28.95,28.89,30.27,26.53,-,44.97,38.6,71.08,43.82,56.95
Salem,Mannington,3,2,"1,008",995,"1,022",971,"1,009",56.72,56.86,58.4,56.09,58.32,21.73,21.41,22.11,22.63,-,27.38,27.64,29.94,24.78,-,46.63,33.67,69.67,47.99,59.37
Hunterdon,Lebanon Twp,23,7,"4,528","4,487","4,788","4,785","4,880",70.17,70.19,78.61,78.43,80.14,15.86,16.08,18.66,18.83,-,40.92,39.98,41.89,42.03,-,39.09,21.97,74.06,46.92,64.32
Hunterdon,Raritan Twp,16,7,"16,319","16,282","17,363","17,419","17,918",73.97,73.87,79.07,78.8,80.64,19.55,19.31,22.51,23.26,-,32.25,31.53,33.25,33.64,-,37.47,23.5,74.65,44.93,63.66
Hunterdon,Kingwood,23,7,"2,780","2,769","2,910","2,913","2,941",73.04,73.18,77.68,77.64,78.68,13.67,13.2,16.5,16.89,-,51.19,50.45,50.76,50.12,-,36.87,15.6,76.49,46.52,65.28
Hunterdon,Lebanon,23,7,"1,136","1,095","1,214","1,207","1,245",81.84,65.53,73,72.32,75.32,19.01,18.3,21.11,22.2,-,36.97,36.41,37.88,38.28,-,39.79,14.61,74.14,44.41,63.94
Hunterdon,West Amwell,15,7,"2,162","2,142","2,288","2,303","2,318",77.21,77.05,82.75,83.23,84.63,23.27,23.49,27,27.27,-,36.26,35.47,36.21,35.74,-,42.04,29.13,76.57,52.89,64.32
Hunterdon,Readington,16,7,"11,874","11,872","12,649","12,783","13,018",74.03,74.52,79.68,80.08,82.18,14.95,14.82,17.21,18.17,-,45.97,47.83,47.7,47.99,-,50.88,34.02,77.5,47.59,65.27
Hunterdon,Tewksbury,23,7,"4,640","4,580","4,880","4,854","4,983",78.31,77.84,83.66,83.06,86.09,15.37,15.16,17.68,18.52,-,49.35,48.19,48.54,48.04,-,42.72,20.04,77.17,49.26,67.21
Hunterdon,Hampton Boro,23,7,919,892,957,969,984,66.93,65.54,71.95,72.8,74.26,20.35,19.24,22.6,22.7,-,29.38,30.47,33.26,33.85,-,34.6,17.38,71.06,41.18,59.55
Hunterdon,High Bridge,23,7,"2,485","2,455","2,609","2,587","2,668",69.26,69.04,73.68,73.04,77.33,21.57,21.12,26.03,27.29,-,36.86,36.47,36.28,36.1,-,46.52,28.76,73.82,51.6,66.79
Hunterdon,Frenchtown,23,7,990,973,"1,042","1,030","1,069",71.02,70.2,74.7,75.4,79.01,31.31,32.06,37.94,40.29,-,26.57,25.23,26.73,25.63,-,43.64,47.79,72.07,47.57,62.02
Camden,Tavistock,6,1,10,10,9,9,9,200,200,180,180,180,7.14,10,22.22,22.22,-,35.71,30,22.22,22.22,-,50,20,88.89,33.33,44.44
Camden,Winslow,4,1,"27,105","24,395","25,943","26,380","27,494",69.69,62.52,65.97,67.57,71.05,36.84,42.75,46.52,48.58,-,11.53,11.64,13.1,13.83,-,32.41,20.52,68.87,37.18,53.84
Camden,Pine Hill,8,1,"7,025","6,239","6,604","6,628","6,940",67.13,59.36,62.75,62.91,66.48,35.6,39.12,43.21,45.98,-,9.29,9.78,11.49,11.93,-,27.46,13.22,64.1,30.93,46.73
Camden,Somerdale,6,1,"3,847","3,483","3,684","3,759","3,918",72.05,63.79,66.91,68.25,71.59,48.3,48.39,52.11,53.63,-,9,8.92,10.68,11.42,-,33.06,23.17,67.97,35.22,51.17
Cape May,Stone Harbor,1,2,709,689,714,686,665,84,82.42,85.71,83.45,82,7.69,7.76,9.79,12.84,-,67.16,67.01,74.04,70.64,-,50.78,36.28,71.99,52.92,65.41
Cape May,Lower Township,1,2,"14,955","14,834","15,722","15,675","15,993",67.18,67.05,71.44,72.02,74.42,20.01,19.56,22.36,22.8,-,37.99,36.85,39.1,39.44,-,47.8,26.38,69.95,43.58,57.36
Cape May,Ocean City,1,2,"8,976","8,723","9,249","9,163","9,361",78.92,76.82,81.56,81.77,84.78,19.6,19.01,21.93,22.4,-,41.81,41.02,42.46,42.43,-,48.79,29.59,73.25,43.44,62.8
Cumberland,Hopewell,1,2,"3,103","3,020","3,147","3,127","3,156",68.86,67.76,70.78,70.71,72.2,23.91,23.64,25.2,25.55,-,25.49,25.56,28.25,29.77,-,40.93,29.6,65.78,39.4,53.52
Cumberland,Commercial,1,2,"3,036","2,952","3,111","3,029","3,042",58.87,58.11,61.56,60.36,61.24,31.32,29.71,31.21,32.42,-,18.31,18.46,20.99,21.69,-,28.79,23.58,56.38,31.23,42.34
Cape May,Wildwood Crest,1,2,"2,407","2,341","2,483","2,446","2,494",75.27,73.57,78.4,77.97,81.13,18.89,18.25,20.28,20.69,-,43.02,42.05,43.97,43.55,-,42.09,34.99,71.61,57.56,57.78
Cape May,West Cape May,1,2,816,808,817,827,833,80.39,79.53,80.41,81.48,82.97,32.69,33.29,37.81,37.48,-,34.62,33.8,33.04,34.16,-,53.31,39.23,76.99,66.99,69.75
Burlington,Springfield,8,3,"2,393","2,424","2,525","2,500","2,534",70.65,72.25,76.17,75.87,77.54,16.92,16.38,18.26,18.68,-,49.98,48.76,47.68,47.92,-,48.68,22.03,77.31,44.96,62.79
Burlington,Westampton,8,3,"5,880","5,919","6,341","6,298","6,508",67.27,67.83,72.21,71.89,74.96,38.88,38.47,42.45,44.19,-,18.88,18.74,19.6,20.1,-,46.36,35.99,73.08,45.81,62.2
Burlington,Woodland,8,3,973,977,"1,018",989,"1,012",54.21,54.49,57.26,55.72,57.21,15.52,16.07,17.58,18.1,-,45.63,44.42,46.27,48.94,-,50.15,22.93,71.41,39.23,56.03
Camden,Berlin,8,1,"5,496","3,508","5,324","5,353","5,363",72.83,46.22,70.11,70.38,71,29.17,30.5,32.44,33.07,-,19.73,19.84,22.47,23.51,-,36.86,49.69,71.71,39.51,55.53
Camden,Brooklawn,5,1,"1,339","1,200","1,255","1,254","1,248",69.41,62.08,64.96,64.84,65.27,38.41,38.42,42.01,44.31,-,12.43,10.77,12.56,13.3,-,37.94,27.17,64.62,31.9,50.24
Camden,Chesilhurst,4,1,"1,228","1,072","1,120","1,122","1,124",75.52,65.61,68.46,68.46,69.21,52.08,53.52,54.07,56.07,-,5.86,7.78,9.79,10.19,-,32.65,31.9,64.2,36.19,52.67
Camden,Gibbsboro,6,1,"1,768","1,673","1,752","1,728","1,727",78.93,74.55,77.94,76.9,77.51,35.98,36.3,38.7,39.04,-,18.64,19.37,21.71,23.21,-,36.88,41.96,72.55,39.87,59.35
Camden,Gloucester Twp,4,1,"45,555","41,488","44,077","44,126","45,123",71.15,64.89,68.93,68.78,70.63,34.78,37.63,40.72,43.14,-,13.1,13.89,15.48,16.59,-,30.06,19.41,68.02,36.56,52.58
Camden,Haddonfield,6,1,"9,914","9,185","9,778","9,646","9,962",86.88,80.47,85.59,84.36,87.81,30.81,34.19,38.3,39.67,-,23.64,22.96,23.56,23.84,-,44.5,22.21,74.45,47.59,64.73
Camden,Oaklyn,6,1,"3,056","2,752","2,955","2,921","3,024",76.71,68.94,74,73.1,76.31,37.48,40.39,44.57,46.65,-,14.34,13.92,14.93,15.54,-,33.87,20.89,70.19,39.16,56.58
Camden,Magnolia,5,1,"3,190","2,801","2,958","3,015","3,105",74.39,65.17,68.81,70.07,72.63,36.44,39.26,43.27,45.8,-,13.05,11.8,13.59,14.94,-,32.98,19.64,68.02,35.89,52.95
Burlington,Riverton,7,3,"1,946","1,954","2,069","2,009","2,050",70.56,71.11,76.26,74.24,76.35,29.75,29.43,34.75,36.34,-,34.64,34.14,33.4,32.95,-,47.89,42.17,76.03,51.02,68.49
Burlington,Pemberton,8,3,910,917,949,922,959,65.66,66.31,69.68,68.81,72.11,28.35,27.92,32.14,33.95,-,31.54,30.53,31.3,30.91,-,46.48,24.1,69.23,42.62,57.14
Burlington,Riverside,7,3,"4,249","4,255","4,385","4,327","4,379",52.99,53.21,55.36,54.78,55.9,33.28,32.43,35.3,36.35,-,16.22,16.26,18.2,18.4,-,33.04,28.04,63.47,33.21,52.98
Burlington,North Hanover,12,3,"3,318","3,430","3,762","3,671","3,769",43.39,45.08,49.62,48.69,50.24,22.48,22.01,24.19,24.05,-,29.23,28.31,29.96,32.23,-,38,29.77,65.63,36.67,51.34
Burlington,Palmyra,7,1,"4,930","4,940","5,167","5,007","5,145",67.23,67.54,71.36,69.34,71.85,37.51,37.04,40.97,42.48,-,19.96,19.29,20.36,20.67,-,43.33,33.12,71.07,43.06,61.15
Burlington,Mount Laurel,7,3,"30,005","30,491","32,210","32,011","32,755",71.88,72.87,77.17,76.84,79.51,30.9,30.48,34.27,35.3,-,23.35,22.72,23.69,23.94,-,41.48,21.2,72.6,40.05,62.34
Burlington,New Hanover,12,3,718,742,827,793,835,9.89,9.19,10.17,10.59,10.39,22.01,21.56,22.37,23.58,-,41.09,39.76,39.66,41.87,-,32.73,20.89,57.32,33.54,49.94
Burlington,Medford,8,3,"17,770","18,150","19,136","18,936","19,419",76.08,77.52,81.64,80.59,83.15,22.37,21.96,24.9,25.53,-,33.87,32.96,34.23,34.74,-,40.65,17.35,73.6,42.73,63.44
Burlington,Mount Holly,8,3,"5,471","5,598","5,987","5,927","6,142",57.65,58.97,62.85,61.45,64.21,34.16,33.71,38.28,39.97,-,18.5,17.81,18.62,18.78,-,36.37,17.42,65.16,36.41,55.32
Burlington,Southampton,8,3,"7,819","7,866","8,181","8,100","8,305",75.46,76.1,79.93,79.37,82.03,23.4,22.87,24.89,24.93,-,37.74,37.4,39.07,39.16,-,44.51,24.05,73.22,44.49,63.05
Burlington,Shamong,8,3,"4,701","4,787","4,985","4,907","4,965",73.09,74.58,77.25,76.28,77.8,16.63,16.21,18.62,18.87,-,34.5,34.05,35.21,36.54,-,37.63,14.58,72.36,40.88,59.82
Burlington,Medford Lakes,8,3,"3,118","3,155","3,325","3,340","3,424",75.86,77.23,82.04,83.23,86.75,23.57,23.14,27.4,28.14,-,31.49,30.81,31.97,31.95,-,48.36,27.77,75.13,49.13,66.24
Hunterdon,Union Twp,23,7,"3,420","3,353","3,583","3,564","3,647",59.32,59.04,64.3,64.3,66.01,17.28,17.06,19.6,20.29,-,40.64,40.83,41.41,40.63,-,38.22,20.31,74.83,44.7,65.07
Hunterdon,Stockton,16,7,399,395,445,440,454,75.43,75.38,85.74,84.62,88.5,41.35,40.4,43.52,42.95,-,30.33,32.07,31.94,32.05,-,52.63,30.38,77.3,56.14,72.47
Hunterdon,Lambertville,15,7,"3,294","3,196","3,378","3,332","3,460",85.43,83.38,88.61,87.13,91.12,44.69,44.82,50.47,52.37,-,17.27,16.97,17.23,16.81,-,43.17,23.62,75.9,54.74,69.25
Mercer,Lawrence,15,12,"20,645","20,379","22,163","22,185","22,960",62.32,61.3,67.37,66.9,70.28,40.11,39.47,44.25,45.22,-,15.42,15.29,15.9,15.64,-,39.41,22.59,70.75,42.7,56.91
Mercer,Trenton,15,12,"9,268","9,257","40,063","38,942","40,704",11.03,10.99,47.66,45.83,48.47,47.34,46.04,51.26,53.67,-,3.07,3.01,3.62,4.13,-,36.57,21.35,56.04,26.72,38.3
Mercer,Ewing,15,12,"23,079","22,356","23,968","23,824","24,680",63.15,61.27,66.61,65.18,67.76,43.15,42.54,46.7,48.18,-,14.07,13.84,14.31,14.18,-,42.88,22.08,69.53,43.3,56.77
Mercer,Hightstown,14,12,"2,994","2,946","3,174","3,119","3,263",53.78,53.4,57.68,57.93,61.39,36.74,35.59,40.03,41.37,-,18.69,17.73,18.86,18.69,-,43.85,26.41,72.81,41.55,61.39
Middlesex,Highland Park,18,6,"9,407","9,397","10,385","9,294","9,765",65.16,65.5,73.16,65.62,70.41,54.84,54.09,56.87,59.54,-,7.87,7.72,8.62,9.19,-,39.66,28.38,62.67,44.19,57.69
Middlesex,Middlesex Borough,22,12,"8,507","8,564","9,215","8,942","9,177",61.25,61.46,66.72,64.48,66.93,24.71,24.09,27.84,29.62,-,19.14,18.96,21.28,22.23,-,33.51,28.46,68.87,41.14,55.31
Middlesex,Carteret,19,6,"13,306","13,468","14,811","14,177","14,609",55.18,55.72,61.73,58.86,61.77,44.3,43.25,45.75,48.15,-,9.38,9.12,9.55,9.91,-,32.84,17.17,59.69,27.37,46.29
Middlesex,East Brunswick,18,12,"31,883","32,015","34,424","33,332","34,312",65.77,65.37,70.79,68.25,71.47,31.24,30.61,33.61,35.13,-,16.82,16.53,18.05,18.78,-,33.92,16.03,67.13,36.41,54.79
Hudson,Bayonne,31,"8, 10","33,532","32,711","35,585","36,076","38,058",50.83,49.33,53.72,53.7,58.48,50.25,49.08,51.06,51.26,-,8.83,8.69,10.54,11.05,-,30.25,19.87,65.77,30.56,45.85
Gloucester,Woodbury Heights,3,1,"2,267","2,249","2,310","2,258","2,314",75.37,74.72,76.8,75.37,77.81,38.07,37.34,39.59,39.97,-,16.76,17.29,18.78,20.1,-,47.33,30.41,74.94,43.67,60.72
Hudson,Jersey City,"31, 33","8, 10","122,900","119,762","136,227","137,029","145,469",46.88,45.31,51.57,50.61,54.78,49.61,48.15,52.7,54.1,-,6.13,6.06,6.61,7.19,-,25.48,12.36,61.8,32.66,45.84
Hudson,Harrison,32,8,"5,736","5,651","6,412","6,497","7,132",37.3,36.52,39.5,36.82,39.99,53.91,52.48,56.67,64.29,-,5.44,5.35,6.36,6.79,-,38.39,18.93,62.85,28.95,46.42
Hudson,Secaucus,32,9,"10,480","10,348","11,232","11,189","11,650",56.91,54.17,56.66,55.35,56.17,53.71,52.08,52.7,51.98,-,8.54,8.7,10.75,11.83,-,33.91,21.54,68.58,40.77,52.77
Hunterdon,Bethlehem,23,7,"2,979","2,923","3,086","3,079","3,166",76.13,75.16,79.5,79.19,82.13,17.15,16.84,20.49,20.72,-,38.97,38.52,39.59,40.73,-,40.35,19.84,75.79,48.16,65.38
Hunterdon,Clinton,23,7,"1,790","1,774","1,942","1,926","2,031",66.69,66.77,72.01,71.31,75.7,25.36,24.65,26.89,28.09,-,30.61,31.18,32.62,33.02,-,43.8,23.73,73.69,50.78,66.17
Hunterdon,Delaware,16,7,"3,729","3,695","3,829","3,836","3,896",82.32,82.28,85.85,85.74,87.85,22.02,21.85,25.03,25.47,-,40.55,40.84,41.36,41.11,-,47.52,35.43,77.67,55.66,70.74
