,,,,Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,% Residential Value,% Residential Value,% Residential Value,% Residential Value,% Residential Value,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating
Morris,Florham Park,27,11,"2,987,926,738","3,081,866,639","3,168,759,250","3,415,130,920","3,511,036,186","252,593","260,403","269,315","290,279","302,832","73,539.96","79,236.21",-,-,-,"10,060","10,082",-,-,-,61.43,61.6,96.34,61.51,60.67,Aaa,Aaa,Aaa,Aaa,-
Morris,Long Hill,21,7,"1,664,071,419","1,772,280,568","1,742,069,818","1,745,007,288","1,745,736,933","189,293","201,877","199,230","200,322","203,941","73,491.30","65,914.76",-,-,-,"8,790","8,783",-,-,-,88.42,88.5,107.89,88.8,88.76,Aa3,Aa3,Aa2,Aa2,-
Morris,Chester,25,7,"463,171,860","389,556,447","398,981,670","388,929,425","385,064,408","276,686","232,571","239,054","233,591","234,224","66,257.83","67,784.27",-,-,-,"1,531","1,578",-,-,-,56.89,57.85,100.72,56.76,57.3,Aa1,-,-,-,-
Morris,Dover,25,7,"1,294,957,930","1,296,442,015","1,330,065,884","1,354,658,514","1,374,381,834","70,713","70,666","72,872","74,301","76,520","20,043.24","20,725.48",-,-,-,"16,322","16,447",-,-,-,69.5,69.49,102.94,65.97,65.65,A1,A1,A1,A1,-
Morris,Boonton,25,11,"1,138,936,110","1,115,493,234","1,157,120,380","1,156,412,271","1,158,661,428","135,394","132,152","138,048","138,426","141,094","40,080.09","40,860.68",-,-,-,"7,789","7,834",-,-,-,77.29,77.46,104.59,77.47,78.05,Aa2,Aa2,Aa2,Aa2,-
Morris,Butler,26,11,"1,008,440,633","952,893,262","942,459,075","977,430,941","983,098,661","131,137","123,736","121,154","125,731","128,510","38,101.42","38,546.13",-,-,-,"7,199","6,718",-,-,-,80.8,81.02,124.33,80.96,80.93,-,-,-,-,-
Morris,Mount Arlington,25,7,"758,176,431","753,466,710","764,133,753","781,118,102","823,825,331","145,495","142,164","140,080","133,115","140,178","44,122.17","45,116.35",-,-,-,"4,727","4,725",-,-,-,86.17,86.53,110.45,85.31,85.76,Aa3,Aa3,Aa3,Aa3,-
Morris,Mountain Lakes,25,11,"1,316,542,886","1,324,067,084","1,318,707,652","1,354,952,748","1,353,122,934","308,903","308,784","304,411","311,842","316,446","136,867.56","140,916.45",-,-,-,"4,540","4,521",-,-,-,90.13,90.42,110.46,91.01,91.11,Aa1,Aa1,Aa1,Aa1,-
Atlantic,Estell Manor,1,2,"163,621,371","167,012,107","160,421,553","161,100,261","169,336,398","94,252","96,483","93,377","93,663","98,451","29,892.22","31,802.35",-,-,-,"1,535","1,516",-,-,-,86.2,86.23,103.51,86.53,86.67,-,-,-,-,-
Atlantic,Galloway,9,2,"2,997,581,592","2,927,947,523","2,770,557,757","2,751,969,555","2,726,827,530","79,759","78,516","75,383","75,267","75,815","28,610.93","29,849.84",-,-,-,"31,739","31,583",-,-,-,81.99,82.22,102.68,82.48,82.36,Aa3,Aa3,Aa3,Aa3,-
Hunterdon,Flemington,16,7,"472,458,584","469,874,591","452,509,417","445,955,085","451,971,124","100,888","101,244","97,925","96,506","98,490","30,722.01","33,809.57",-,-,-,"3,651","3,732",-,-,-,47.67,48.07,101.26,49.03,49.8,A2,A2,A2,A2,-
Atlantic,Egg Harbor Twp,2,2,"4,161,256,615","4,173,764,100","4,104,616,654","4,048,933,033","4,080,188,256","94,895","95,113","94,350","93,517","95,829","28,099.06","28,566.31",-,-,-,"43,652","43,503",-,-,-,74.74,75.29,100.38,76.25,76.13,-,-,-,-,-
Hunterdon,Clinton Twp,23,7,"2,229,377,597","2,237,984,484","2,270,014,985","2,284,182,870","2,263,310,606","169,431","171,862","176,600","176,972","175,764","67,688.16","70,702.18",-,-,-,"12,625","12,574",-,-,-,79.81,79.84,105.53,80.18,80.19,Aa2,Aa2,Aa2,Aa3,-
Hunterdon,East Amwell,15,7,"729,137,295","730,742,501","718,036,642","733,258,879","757,583,073","184,219","186,176","183,688","186,818","195,354","58,635.42","60,560.58",-,-,-,"3,671","3,669",-,-,-,66.89,67.47,107.45,67.5,67.25,Aa2,Aa2,Aa2,Aa2,-
Hunterdon,Califon,23,7,"133,780,798","138,019,740","142,189,096","144,606,277","148,105,497","123,073","127,796","134,141","135,399","140,119","45,153.84","48,121.27",-,-,-,"1,006",989,-,-,-,86.57,86.65,97.62,86.82,86.79,-,-,-,-,-
Atlantic,Margate,2,2,"3,858,755,822","3,890,039,867","3,963,146,355","4,022,942,544","4,102,542,867","609,309","623,704","645,253","661,342","688,462","56,251.29","57,529.23",-,-,-,"5,012","4,887",-,-,-,95.57,95.65,110.11,95.74,95.97,-,-,-,-,-
Atlantic,Hammonton,8,2,"1,317,766,287","1,339,593,769","1,351,724,801","1,364,113,745","1,432,751,681","89,249","91,640","93,688","94,934","101,722","30,408.55","29,831.04",-,-,-,"14,266","14,145",-,-,-,72.24,72.01,99.6,72.08,72.26,A1,A1,A1,-,-
Atlantic,Linwood,2,2,"1,020,225,019","965,865,609","933,209,573","905,415,254","896,277,180","144,672","138,515","135,405","132,081","132,979","61,077.60","57,633.51",-,-,-,"6,980","6,958",-,-,-,85.31,85.79,95.35,86.12,86.1,A1,A1,A1,A1,-
Union,Scotch Plains,22,"7, 12","3,962,154,701","3,996,246,076","4,076,963,163","4,267,951,903","4,358,372,407","164,500","165,483","168,567","173,283","178,585","65,131.43","65,669.89",-,-,-,"23,781","23,812",-,-,-,90.16,90.14,411.69,90.37,90.44,Aa2,Aa1,Aa1,Aaa,-
Union,Summit,21,7,"6,984,101,192","7,183,266,052","7,351,008,125","7,231,865,993","7,322,360,954","316,438","325,418","333,848","323,965","332,593","141,335.20","136,471.33",-,-,-,"21,489","21,621",-,-,-,80.68,81.44,236.29,82.38,82.45,Aaa,Aaa,Aaa,Aaa,-
Warren,Belvidere,24,5,"174,166,263","180,282,038","182,363,254","190,865,387","184,221,085","66,577","69,153","70,086","73,325","71,514","29,828.32","31,559.83",-,-,-,"2,418","2,392",-,-,-,78.38,78.67,142.35,79.04,79.11,-,-,-,-,-
Union,Kenilworth,21,7,"1,424,543,576","1,386,363,492","1,393,015,817","1,408,678,908","1,524,501,018","174,726","168,760","170,004","169,475","185,462","34,892.29","35,318.70",-,-,-,"7,671","7,770",-,-,-,55.11,55.16,169.92,55.67,55.94,Aa2,Aa2,Aa2,Aa2,-
Warren,Franklin Twp,23,7,"387,542,525","382,293,395","408,528,275","405,316,281","403,113,943","124,532","123,480","132,167","131,170","132,342","43,303.96","42,895.73",-,-,-,"2,663","2,680",-,-,-,69.67,70.01,98.6,69.71,69.55,-,-,-,-,-
Morris,Roxbury,25,7,"3,129,871,322","3,288,002,084","3,238,671,897","3,306,818,064","3,267,164,589","133,050","139,850","138,559","141,668","142,596","42,973.50","44,163.22",-,-,-,"22,600","22,593",-,-,-,79.49,79.54,158.5,80.1,80.11,-,-,-,-,-
Union,New Providence,21,7,"2,406,709,197","2,481,555,026","2,561,183,775","2,696,361,257","2,803,119,332","193,746","199,018","200,751","202,612","207,854","73,645.46","72,900.84",-,-,-,"12,574","12,783",-,-,-,82.18,82.66,194.97,80.21,79.63,Aa1,Aa1,Aaa,Aaa,-
Union,Hillside,20,10,"1,615,220,322","1,634,529,232","1,671,499,268","1,734,531,348","1,847,101,187","73,690","74,351","76,147","77,872","83,754","28,330.37","30,011.25",-,-,-,"20,036","20,296",-,-,-,77.23,77.25,188.08,77.35,77.15,A1,A1,-,-,-
Union,Linden,22,10,"4,831,451,252","5,235,521,038","5,425,570,135","5,763,759,167","5,902,509,520","115,998","124,593","127,790","133,867","138,759","26,010","27,218.98",-,-,-,"37,492","37,871",-,-,-,49.91,50.19,200.6,49.6,49.6,Aa3,Aa3,Aa3,Aa3,-
Union,Roselle,20,10,"1,340,651,266","1,331,009,628","1,357,613,896","1,375,470,391","1,392,680,939","62,208","61,422","62,780","62,590","63,587","24,633.23","25,060.20",-,-,-,"18,851","19,112",-,-,-,79.74,79.66,175.81,79.5,79.83,A1,A1,A1,-,-
Union,Mountainside,21,7,"1,707,183,189","1,750,299,915","1,776,725,061","1,791,130,231","1,781,279,104","249,698","254,219","258,132","256,535","258,456","75,161.22","74,674.69",-,-,-,"6,583","6,680",-,-,-,82.99,83.1,371.61,83.34,83.51,Aa2,Aa2,Aa2,-,-
Union,Rahway,22,10,"2,502,172,299","2,492,253,656","2,529,449,715","2,600,759,512","2,781,350,610","87,709","84,460","85,887","86,315","93,084","30,164.11","31,346.46",-,-,-,"24,862","25,238",-,-,-,67.03,66.77,173.73,66.62,67.83,A1,A1,A1,-,-
Union,Plainfield,22,12,"2,551,739,069","2,727,198,981","2,793,866,946","2,777,213,680","2,780,303,039","50,078","53,248","55,176","54,108","54,846","21,174.74","21,687.67",-,-,-,"43,222","43,799",-,-,-,82.73,82.78,230.2,82.43,82.51,A1,A1,A1,A1,-
Union,Springfield,21,7,"2,478,795,781","2,407,416,208","2,475,502,260","2,679,913,358","2,789,756,548","144,175","137,551","141,887","151,185","159,260","54,055.68","57,700.66",-,-,-,"15,724","16,028",-,-,-,68.75,69.06,222.67,69.84,70.04,-,-,-,-,-
Union,Roselle Park,21,10,"1,031,628,295","1,089,986,053","1,102,089,301","1,106,424,080","1,185,419,929","75,883","79,736","80,810","80,054","86,844","31,384.54","32,330.92",-,-,-,"12,365","12,480",-,-,-,81.88,81.88,104.55,79.61,79.45,Aa3,Aa3,Aa3,Aa3,-
Union,Westfield,21,7,"7,347,259,780","7,493,429,972","7,645,211,319","7,715,831,473","7,900,550,548","237,852","245,300","253,102","253,535","264,400","99,633.22","97,787.45",-,-,-,"30,547","30,943",-,-,-,89.36,89.34,413.39,89.5,89.67,Aa2,Aa1,Aa1,-,-
Union,Union Twp,20,"7, 10","6,023,633,409","6,002,666,585","6,237,050,280","6,358,633,219","6,641,776,733","104,157","103,266","106,594","107,179","113,038","34,073.19","35,294.76",-,-,-,"53,061","53,309",-,-,-,72.43,71.86,605.33,72.29,72.15,Aa2,Aa2,-,-,-
Warren,Hackettstown,23,5,"1,025,553,389","996,720,739","975,587,033","1,009,950,986","990,426,142","107,377","104,053","102,166","105,710","104,663","31,849.19","32,395.28",-,-,-,"8,135","8,377",-,-,-,63.39,63.73,94.48,63.77,64.04,-,-,-,-,-
Warren,Allamuchy,24,5,"580,198,931","591,033,906","604,365,647","617,160,004","645,486,631","127,292","129,726","131,727","132,894","139,114","46,510.03","48,998.92",-,-,-,"4,605","4,649",-,-,-,89.49,91.07,110.04,91.77,91.9,-,-,-,-,-
Atlantic,Weymouth,1,2,"161,566,761","177,676,512","183,634,307","175,999,772","175,497,302","59,597","64,306","65,866","62,411","62,366","27,602.98","26,705.94",-,-,-,"2,075","2,106",-,-,-,82.69,79.03,113.58,78.59,78.78,-,-,-,-,-
Bergen,Alpine,37,5,"2,444,644,594","2,304,066,745","2,437,030,765","2,243,768,385","2,218,106,483","1,290,731","1,201,913","1,303,922","1,187,179","1,192,530","277,919.87","252,080.81",-,-,-,"1,630",129,-,-,-,90.9,90.96,124.05,91,91.15,Aaa,Aaa,-,-,-
Bergen,Bergenfield,38,5,"2,679,190,624","2,700,484,226","2,748,434,866","2,829,710,442","3,043,077,234","97,759","97,769","99,412","101,325","110,742","35,823.35","36,487.01",-,-,-,"26,238","26,668",-,-,-,83.37,83.45,104.12,83.72,83.92,Aa3,Aa3,Aa3,Aa3,-
Bergen,Carlstadt,36,9,"2,057,134,787","2,198,107,301","2,292,236,329","3,298,896,105","2,290,559,940","329,247","350,073","366,817","522,473","369,982","36,568.85","36,677.66",-,-,-,"5,709","5,687",-,-,-,25.49,25.59,115.71,24.85,24.68,A1,A1,A1,A1,-
Atlantic,Mullica,2,2,"475,746,559","507,403,762","481,426,405","455,988,752","472,498,869","77,294","83,208","79,693","75,720","79,760","27,984.49","29,876.26",-,-,-,"5,503","5,439",-,-,-,86.93,86.92,164.83,87.22,87.55,-,-,-,-,-
Atlantic,Pleasantville,2,2,"873,373,807","839,890,926","784,556,047","724,081,826","740,021,000","42,672","40,467","38,286","34,926","36,318","13,861.81","13,978.64",-,-,-,"17,792","17,834",-,-,-,63.45,62.98,89.05,61.19,61.72,A2,A2,A2,A2,-
Atlantic,Port Republic,9,2,"132,055,983","130,689,036","123,427,804","121,237,223","121,070,850","117,802","118,808","113,758","112,257","114,434","35,440.66","35,689.67",-,-,-,"1,047","1,057",-,-,-,93.33,93.38,157.98,93.67,93.12,-,-,-,-,-
Atlantic,Ventnor,2,2,"2,366,633,488","2,282,227,399","2,173,553,649","2,175,267,199","2,203,039,333","223,331","217,645","210,677","212,449","219,448","32,022.32","32,335.55",-,-,-,"8,518","8,292",-,-,-,93.72,93.56,92.02,93.53,93.72,-,-,-,-,-
Morris,Pequannock,40,11,"2,569,285,320","2,582,621,886","2,635,600,928","2,703,917,849","2,779,777,621","165,047","166,556","170,866","175,465","183,399","50,490.12","49,625.20",-,-,-,"15,014","14,907",-,-,-,72.36,72.48,106.19,72.49,73.5,Aa2,Aa2,Aa2,Aa2,-
Bergen,Closter,39,5,"2,094,558,996","2,114,258,961","2,125,346,190","2,154,124,879","2,212,125,625","243,780","244,084","244,152","245,736","257,763","66,843.10","69,869.46",-,-,-,"8,413","8,462",-,-,-,87.12,87.35,102.28,87.51,86.99,-,-,-,-,-
Bergen,Cresskill,37,9,"2,078,273,817","2,141,245,182","2,201,411,612","2,283,790,138","2,341,493,447","237,165","242,992","250,816","255,600","266,837","91,605.20","81,117.48",-,-,-,"8,453","8,496",-,-,-,91.04,91.31,123.79,91.53,91.76,Aa2,Aa2,Aa2,Aa2,-
Warren,Mansfield,23,5,"691,392,900","703,039,986","717,869,946","729,368,390","745,455,201","91,758","93,714","96,075","97,718","100,955","31,783.11","32,687.46",-,-,-,"7,166","7,166",-,-,-,60.84,60.83,106.22,60.62,61.02,A2,A2,A1,-,-
Warren,Oxford,24,5,"177,574,573","175,356,815","166,872,425","175,957,992","178,138,252","71,980","71,312","67,945","71,703","73,218","31,648.80","33,122.32",-,-,-,"2,137","2,061",-,-,-,88.01,88.29,105.09,88.84,88.88,-,-,-,-,-
Warren,Knowlton,24,5,"300,054,202","303,039,907","311,098,121","310,495,657","305,953,636","100,152","101,555","104,959","104,474","103,889","39,130.19","39,068.03",-,-,-,"2,470","2,502",-,-,-,75.4,75.46,120.25,75.48,75.4,-,-,-,-,-
Warren,Lopatcong,23,7,"821,565,302","837,011,817","868,505,805","871,205,765","896,271,450","101,754","101,518","105,019","104,361","107,699","37,666.15","38,674.47",-,-,-,"7,327","7,505",-,-,-,78.5,80.1,100.17,79.74,78.57,A1,A1,A1,-,-
Atlantic,Buena,2,2,"269,264,548","264,312,487","272,731,990","271,545,480","258,414,057","58,409","58,296","61,206","61,311","59,447","22,541.97","22,452.98",-,-,-,"3,929","3,877",-,-,-,76.6,76.64,92.34,77.25,77.32,A2,A2,A2,A2,-
Atlantic,Buena Vista,2,2,"606,304,460","612,041,904","590,938,462","584,140,061","573,630,854","79,924","81,540","79,204","78,704","78,590","28,099.53","30,531.28",-,-,-,"5,949","5,957",-,-,-,79.33,79.3,91.2,80.77,80.54,-,-,-,-,-
Atlantic,Absecon,2,2,"771,220,704","776,029,094","747,805,564","727,840,911","749,575,777","92,075","93,306","90,151","87,872","88,791","29,480.14","30,153.19",-,-,-,"7,700","7,633",-,-,-,79.51,79.51,105.39,79.15,79.08,A1,A1,A1,A1,-
Atlantic,Atlantic City,2,2,"11,267,087,629","8,401,753,305","6,436,149,051","2,799,270,870","2,757,788,636","285,858","214,003","166,158","72,843","72,950","13,930.08","14,102.15",-,-,-,"32,102","30,251",-,-,-,18.23,26.01,98.78,49.54,48.28,Caa1,Caa1,Caa3,Caa3,-
Bergen,Dumont,39,5,"1,819,882,643","1,888,964,148","1,970,207,064","2,002,348,678","2,067,227,466","101,880","104,937","110,246","111,254","116,812","36,652","38,886.63",-,-,-,"16,650","16,841",-,-,-,90.43,90.44,116.65,90.51,90.44,A1,A1,-,-,-
Bergen,Englewood,37,9,"4,674,851,169","4,700,718,634","4,807,455,743","4,961,470,397","5,037,273,563","168,950","164,712","168,949","170,427","175,981","74,474.39","66,780.71",-,-,-,"24,058","24,425",-,-,-,71.82,72.04,109.79,70.81,70.95,Aa2,Aa2,Aa2,Aa2,-
Bergen,Englewood Cliffs,37,9,"3,190,448,673","3,221,160,824","3,264,185,033","3,458,957,733","3,588,868,622","592,470","596,180","603,808","634,322","666,457","112,682.53","118,853.20",-,-,-,"5,060","5,006",-,-,-,72.33,72.63,96.81,73.88,74.14,Aa2,Aa2,Aa2,Aa2,-
Bergen,East Rutherford,36,9,"2,159,693,809","1,976,393,748","2,109,674,544","2,067,102,007","2,307,317,138","220,422","215,669","214,050","208,209","236,309","34,035.20","37,392.85",-,-,-,"8,416","8,737",-,-,-,33.45,33.62,111.46,33.19,33.57,Baa1,-,-,A2,-
Bergen,Elmwood Park,35,9,"2,082,226,224","2,078,530,500","2,091,863,980","2,291,924,894","2,299,782,092","102,200","102,497","103,073","112,190","114,303","28,598.12","29,816.78",-,-,-,"18,893","18,666",-,-,-,77.25,77.35,101.43,77.46,77.5,Aa2,Aa2,Aa2,Aa2,-
Bergen,Garfield,35,9,"2,116,339,387","2,143,761,502","2,230,214,370","2,362,852,749","2,512,146,697","67,215","67,410","69,965","72,943","78,835","21,143.83","22,119.58",-,-,-,"28,267","28,828",-,-,-,74.83,75.79,107.08,75.85,75.23,A1,A1,A1,A1,-
Bergen,Hackensack,37,5,"5,537,500,516","5,938,890,642","5,586,201,818","5,677,232,679","5,857,546,967","124,385","132,464","124,815","125,469","131,565","31,588.68","32,025.10",-,-,-,"38,138","38,816",-,-,-,39.97,40.3,108.21,36.9,36.6,Aa3,Aa3,Aa3,Aa3,-
Monmouth,Roosevelt,12,4,"85,880,933","82,619,159","86,029,390","87,111,116","3,676,440,250","98,487","94,856","100,737","102,004","4,366,319","42,149.68","44,477.02",-,-,-,747,452,-,-,-,89.43,90.67,100.64,90.59,90.58,-,-,-,-,-
Bergen,Fairview,32,8,"1,112,454,815","1,181,843,200","1,316,302,543","1,346,112,238","1,367,823,827","77,702","81,783","91,277","92,599","95,685","22,048.46","22,341.86",-,-,-,"10,783","11,035",-,-,-,61.18,61.36,126.94,62.1,62.43,A1,A1,A1,-,-
Monmouth,Sea Bright,13,6,"672,694,406","627,570,711","674,968,532","710,222,746","2,553,864,138","499,031","466,942","486,639","511,319","1,872,334","76,381.98","82,049.90",-,-,-,"1,069","1,126",-,-,-,82.65,81.66,98.55,78.32,78.13,A1,A1,A1,A1,-
Bergen,Franklin Lakes,40,5,"4,342,182,615","4,480,221,280","4,389,577,030","4,434,208,962","4,430,811,876","400,681","411,067","404,495","393,977","399,316","165,715.17","159,941.09",-,-,-,"10,819","10,836",-,-,-,87.2,87.18,106.54,87.35,87.15,Aaa,Aaa,Aaa,Aaa,-
Monmouth,Ocean Twp,11,4,"4,539,382,409","4,673,821,521","4,759,112,032","4,888,118,749","5,269,784,142","166,889","172,434","178,051","181,122","197,311","46,079.51","48,166",-,-,-,"26,685","26,870",-,-,-,80.49,80.68,112.7,80.84,81.96,Aa2,Aa2,Aa2,Aa3,-
Monmouth,Red Bank,11,4,"2,035,946,558","2,068,086,038","2,126,414,795","2,189,583,665","89,338,415","163,596","169,460","174,870","180,213","7,415","43,455.62","43,974.02",-,-,-,"10,203","10,546",-,-,-,59.7,59.57,102.18,57.85,58.27,Aa3,Aa3,Aa3,Aa3,-
Bergen,Harrington Park,39,5,"957,954,784","975,944,075","995,188,847","993,320,328","993,784,542","200,367","202,352","207,072","204,977","208,691","63,611.50","68,500.73",-,-,-,"4,764","4,814",-,-,-,95.46,95.46,111.09,95.57,95.57,-,Aa2,Aa2,Aa2,-
Monmouth,Monmouth Beach,13,6,"1,312,446,195","1,317,429,356","1,387,025,613","1,479,769,974","1,934,075,477","403,085","406,740","430,486","457,284","599,156","96,510.08","95,071.95",-,-,-,"2,884","2,955",-,-,-,95.61,95.22,107.01,95.56,95.83,-,-,-,-,-
Monmouth,Neptune City,11,4,"486,110,135","3,657,059,936","549,157,964","574,215,690","4,155,736,915","100,706","761,412","115,929","121,966","894,669","30,639.85","30,140.18",-,-,-,"24,677","4,692",-,-,-,72.02,68.36,105.85,69.69,70.24,-,-,-,-,-
Warren,Independence,24,5,"559,332,935","561,583,530","570,932,550","592,636,235","593,776,453","100,944","101,607","103,693","107,478","109,070","40,665.46","43,041.92",-,-,-,"4,999","4,894",-,-,-,85.42,85.57,114.13,85.99,86.12,-,-,-,-,-
Monmouth,Marlboro,13,6,"7,186,558,937","7,354,851,699","7,460,307,716","7,637,736,943","7,316,476,259","175,282","180,838","184,982","189,494","183,490","61,220.85","63,452.99",-,-,-,"41,772","41,848",-,-,-,90.42,90.74,103.99,90.78,90.61,Aa2,Aa2,Aa1,Aa1,-
Warren,Hope,24,5,"231,836,759","228,206,474","223,349,734","228,567,893","238,621,182","121,000","119,417","118,112","120,935","127,197","43,134.21","46,417.06",-,-,-,"1,427","1,342",-,-,-,74.37,73.93,88.04,74.38,72.7,-,-,-,-,-
Monmouth,Middletown,13,"4, 6","10,336,956,462","10,353,782,561","10,668,489,931","10,849,905,617","1,118,886,197","156,580","156,818","162,922","165,387","17,085","53,426.06","58,042.16",-,-,-,"63,875","64,177",-,-,-,85.93,86.41,102.44,87.34,87.56,Aa2,Aa2,-,Aa2,-
Monmouth,Long Branch,11,6,"4,470,053,788","4,532,432,399","4,755,926,668","4,863,635,857","1,768,026,329","146,454","146,486","154,599","158,105","58,147","31,226.48","31,048.75",-,-,-,"23,050","23,891",-,-,-,78.99,79.59,105.86,77.48,79.11,Aa3,Aa3,Aa3,Aa3,-
Monmouth,Manasquan,30,4,"1,915,689,940","1,978,626,505","2,052,135,202","2,108,281,260","4,980,696,829","332,354","340,263","352,722","357,154","851,984","50,119.41","52,306.48",-,-,-,"5,562","5,700",-,-,-,88.97,89.48,103.84,91.05,90.77,-,-,-,-,-
Atlantic,Hamilton,2,2,"2,299,088,378","2,249,817,012","2,145,057,650","2,139,126,161","2,309,303,531","86,279","83,989","80,949","81,003","89,619","27,902.64","28,938.66",-,-,-,"23,527","23,599",-,-,-,68.67,67.96,102.31,68.45,68.65,Aa3,-,-,-,-
Atlantic,Longport,2,2,"1,874,393,497","1,886,345,893","1,876,059,911","1,932,146,906","1,969,794,054","2,129,993","2,129,059","2,151,445","2,205,647","2,295,797","73,612.91","71,983.97",-,-,-,654,627,-,-,-,94.81,95.72,103.3,95.13,95.28,-,-,-,-,-
Atlantic,Somers Point,2,2,"1,176,489,258","1,140,736,419","1,124,475,446","1,120,420,390","1,134,496,218","109,380","106,731","106,636","106,910","110,306","27,111.91","28,016.89",-,-,-,"9,634","9,578",-,-,-,68.49,68.6,95.91,68.84,69.57,-,-,-,-,-
Monmouth,Sea Girt,30,4,"2,159,565,758","2,282,967,621","2,273,980,283","2,346,852,556","1,190,116,641","1,190,499","1,260,612","1,273,939","1,322,916","672,003","156,235.48","159,386.13",-,-,-,"1,765","1,714",-,-,-,95.78,96.63,99.08,95.51,95.27,-,-,-,-,-
Bergen,Allendale,40,5,"1,685,763,115","1,694,396,538","1,741,021,215","1,760,681,481","1,772,623,390","248,308","248,372","254,052","254,950","260,987","97,632.84","95,685.45",-,-,-,"6,773","6,766",-,-,-,87.39,87.71,104.35,87.85,87.68,Aa2,-,-,-,-
Bergen,Bogota,37,5,"703,053,649","710,610,626","723,046,956","730,315,335","783,710,355","84,380","84,597","84,994","85,248","93,155","29,908.65","30,861.19",-,-,-,"7,794","7,988",-,-,-,81.97,82.07,112.33,82.31,83.12,A2,A2,A2,A2,-
Bergen,Cliffside Park,36,9,"2,897,617,571","2,962,971,040","3,059,555,662","3,236,554,551","3,310,422,360","113,619","119,201","123,091","128,731","127,643","40,494.18","41,298.97",-,-,-,"19,785","20,496",-,-,-,83.78,83.98,110.8,83.24,82.9,-,-,-,-,-
Bergen,Demarest,39,5,"1,490,043,274","1,497,688,236","1,554,112,206","1,586,410,178","1,622,129,602","299,627","296,572","310,822","315,264","328,832","106,819.56","122,027.57",-,-,-,"4,858","4,836",-,-,-,95.83,96,120.29,96.32,96.36,Aa2,-,-,-,-
Bergen,Ho-Ho-Kus,40,5,"1,254,277,416","1,300,435,832","1,313,354,464","1,315,914,327","1,309,267,037","300,714","312,229","317,082","314,586","318,789","131,366.34","122,014.86",-,-,-,"4,250","4,311",-,-,-,94.22,94.06,114.09,94.31,94.27,Aa2,Aa2,Aa2,Aa2,-
Bergen,Haworth,39,5,"949,433,172","936,087,705","914,215,697","927,323,286","930,701,132","275,358","269,766","263,919","265,177","271,341","78,514.94","84,446.87",-,-,-,"3,351","3,323",-,-,-,86.15,86.6,115.39,87.01,87.15,Aa3,Aa3,Aa3,Aa3,-
Bergen,Leonia,37,9,"1,290,672,611","1,351,889,977","1,372,244,508","1,401,854,870","1,428,531,513","141,227","146,642","149,238","151,356","156,809","48,743.92","49,072.98",-,-,-,"8,326","8,384",-,-,-,86.19,86.26,112.31,86.36,86.33,-,-,-,-,-
Bergen,Lodi,38,5,"2,059,640,572","2,121,684,709","2,062,411,437","2,279,621,009","2,452,661,066","83,542","85,431","83,236","91,327","99,901","25,455.95","26,066.63",-,-,-,"21,798","21,947",-,-,-,73.01,72.87,106.72,72.91,72.72,A1,A1,A1,-,-
Bergen,Lyndhurst,36,9,"2,623,042,263","2,765,338,447","3,153,835,780","3,337,682,922","3,233,585,140","118,803","124,084","141,816","148,831","143,206","35,015.04","36,220.64",-,-,-,"18,783","19,321",-,-,-,58.83,58.91,117.51,59.17,60.21,Baa1,Baa1,Aa3,Aa3,-
Bergen,Maywood,38,5,"1,262,914,218","1,292,292,675","1,344,496,440","1,366,149,060","1,440,210,799","129,583","131,799","137,404","138,555","148,567","38,946.91","39,742.22",-,-,-,"9,315","9,406",-,-,-,75.84,74.9,115.75,75.6,75.72,-,-,-,-,-
Bergen,Midland Park,40,5,"1,151,607,247","1,183,369,793","1,228,726,759","1,239,468,855","1,249,136,831","157,646","161,464","167,882","167,859","171,939","46,912.84","49,853.95",-,-,-,"6,950","6,908",-,-,-,81.3,81.26,115.34,81.26,81.37,-,-,-,-,-
Bergen,Moonachie,36,9,"844,660,327","889,675,349","830,195,078","812,269,144","779,916,838","303,507","319,109","297,561","290,096","284,330","35,420.32","34,663.46",-,-,-,"2,684","2,741",-,-,-,29.3,30.28,116.9,26.79,26.6,A1,A1,A1,-,-
Bergen,New Milford,38,5,"1,777,704,265","1,822,529,040","1,826,103,091","1,836,963,473","1,903,800,931","106,590","108,477","108,963","108,902","114,978","38,992.28","40,076.95",-,-,-,"15,789","16,038",-,-,-,85.84,86.01,115.63,86.13,86.29,-,-,-,-,-
Bergen,Northvale,37,5,"902,132,048","938,079,203","928,495,238","971,531,945","989,458,503","189,087","193,060","188,221","194,891","200,987","37,443.72","38,906.09",-,-,-,"4,535","4,496",-,-,-,67.65,67.48,108.52,67.76,67.81,-,-,-,-,-
